date,position,country,song,winning chance,BET365,COOL BET,UNIBET,SKY BET,BETFAIR SPORT, BETSSON ,BWIN,BOYLE SPORTS,LAD BROKES,BET STARS,10BET,COMEON, * SMARKETS,BETWAY, WILLIAM  HILL,BET FRED,BETFAIR*  EXCHANGE 
2023-05-02,1,Sweden,Loreen - Tattoo,43%,1.67,1.68,1.63,1.8,1.53,1.65,1.62,1.67,1.67,1.57,1.57,1.57,1.76,1.75,1.62,1.67,1.83
2023-05-02,2,Finland,Käärijä - Cha Cha Cha,21%,3.2,3.55,3.5,3.5,3.4,3.5,3.5,3.25,3,3.5,3,3,3.9,3.4,2.88,3.5,3.95
2023-05-02,3,Ukraine,Tvorchi - Heart of Steel,5%,15,13,13,17,14,15,15,13,15,15,10,10,18,15,10,11,24
2023-05-02,4,France,La Zarra - Évidemment,5%,15,19,13,17,18,15,15,13,13,18,13,13,20,15,13,13,24
2023-05-02,5,Spain,Blanca Paloma - Eaea,4%,17,19,17,17,15,18,19,15,13,15,15,15,20,17,15,17,24
2023-05-02,6,Norway,Alessandra - Queen of Kings,4%,19,21,17,21,19,18,19,19,21,18,15,15,34,21,17,17,44
2023-05-02,7,Israel,Noa Kirel - Unicorn,3%,21,31,34,34,23,30,26,21,19,23,29,29,38,26,21,26,55
2023-05-02,8,Austria,Teya & Salena - Who The Hell Is Edgar?,2%,34,41,34,34,31,35,34,26,29,41,29,29,50,34,26,34,70
2023-05-02,9,Italy,Marco Mengoni - Due vite,2%,41,51,51,34,34,45,34,41,51,51,41,41,50,51,41,51,70
2023-05-02,10,United Kingdom,Mae Muller - I Wrote A Song,1%,51,67,81,67,46,65,67,51,41,56,41,41,80,51,34,34,120
2023-05-02,11,Czechia,Vesna - My Sister's Crown,1%,81,81,67,126,81,60,67,67,81,81,67,67,240,67,67,67,280
2023-05-02,12,Armenia,Brunette - Future Lover,1%,126,101,81,151,126,100,101,81,67,201,81,81,260,101,101,67,310
2023-05-02,13,Switzerland,Remo Forrer - Watergun,1%,201,151,101,151,151,150,101,101,81,151,101,101,260,126,151,101,410
2023-05-02,14,Croatia,Let 3 - Mama ŠČ!,1%,126,201,151,201,101,150,101,101,151,151,101,101,270,151,101,101,500
2023-05-02,15,Australia,Voyager - Promise,<1%,201,251,151,201,151,150,101,126,151,151,101,101,260,151,101,101,460
2023-05-02,16,Serbia,Luke Black - Samo mi se spava,<1%,201,251,126,126,201,150,101,126,151,201,126,126,230,151,101,101,660
2023-05-02,17,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,151,201,151,200,101,151,151,151,151,151,270,151,101,101,520
2023-05-02,18,Slovenia,Joker Out - Carpe Diem,<1%,201,201,126,201,201,200,101,201,151,201,126,126,270,151,126,201,640
2023-05-02,19,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,301,126,201,251,250,101,126,151,251,101,101,260,151,101,101,470
2023-05-02,20,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,301,176,301,151,250,101,151,151,151,151,151,260,126,101,101,370
2023-05-02,21,Georgia,Iru - Echo,<1%,301,251,101,301,201,250,101,101,201,201,126,126,280,126,101,101,1000
2023-05-02,22,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,301,201,201,251,250,101,201,126,251,201,201,260,201,251,201,400
2023-05-02,23,Estonia,Alika - Bridges,<1%,301,301,151,301,251,200,101,201,201,251,201,201,280,201,151,201,1000
2023-05-02,24,Ireland,Wild Youth - We Are One,<1%,301,501,351,501,151,300,301,81,151,201,151,151,270,251,101,126,670
2023-05-02,25,Poland,Blanka - Solo,<1%,301,401,251,301,251,250,301,201,201,251,201,201,280,251,201,201,1000
2023-05-02,26,Portugal,Mimicat - Ai Coração,<1%,301,401,251,301,251,300,301,201,251,251,201,201,280,251,151,201,1000
2023-05-02,27,Lithuania,Monika Linkytė - Stay,<1%,301,401,201,301,301,300,301,251,201,301,251,251,280,251,251,201,1000
2023-05-02,28,Belgium,Gustaph - Because of You,<1%,301,501,251,301,301,300,301,251,201,301,251,251,280,251,201,201,1000
2023-05-02,29,Iceland,Diljá - Power,<1%,501,401,251,501,251,300,301,201,251,251,201,201,280,251,201,201,1000
2023-05-02,30,Greece,Victor Vernicos - What They Say,<1%,501,401,301,501,251,500,301,251,201,251,201,201,280,251,251,201,1000
2023-05-02,31,Denmark,Reiley - Breaking My Heart,<1%,501,501,276,501,251,500,301,251,251,251,201,201,280,251,201,201,1000
2023-05-02,32,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,301,751,301,500,301,251,251,301,251,251,280,251,251,201,1000
2023-05-02,33,Albania,Albina & Familja Kelmendi - Duje,<1%,501,501,501,501,301,500,501,251,251,301,251,251,280,301,251,201,1000
2023-05-02,34,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,351,751,301,500,501,251,251,301,251,251,280,301,151,201,1000
2023-05-02,35,Malta,The Busker - Dance (Our Own Party),<1%,501,501,351,751,301,500,501,251,251,301,251,251,280,301,201,201,1000
2023-05-02,36,Latvia,Sudden Lights - Aijā,<1%,501,501,501,751,301,500,501,251,251,301,251,251,280,251,251,201,1000
2023-05-02,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,501,501,751,301,500,501,251,251,301,251,251,280,301,201,201,1000
