date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BOYLE SPORTS, BETSSON ,BET FRED,BETFAIR SPORT,BET STARS,LAD BROKES, * SMARKETS,COMEON,10BET,888 SPORT,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-10,1,Sweden,Loreen - Tattoo,39%,1.8,1.8,1.86,1.91,1.83,1.85,1.83,1.83,1.83,1.8,1.88,1.83,1.83,1.83,1.91,1.83,1.8,1.94
2023-04-10,2,Finland,Käärijä - Cha Cha Cha,15%,5,4.5,4.3,5,4.5,4.5,5,5,4.5,5,6,4,4,5,4.5,5,5,6.6
2023-04-10,3,Ukraine,Tvorchi - Heart of Steel,10%,7,8,7.5,7.5,7,8,7,6,6.5,6,8,6.5,6.5,6,9,6,8,10
2023-04-10,4,Norway,Alessandra - Queen of Kings,5%,15,11,15,12,13,12,13,13,13,15,18,13,13,13,13,13,15,21
2023-04-10,5,Spain,Blanca Paloma - Eaea,5%,13,15,15,19,17,15,17,17,17,13,17,13,13,17,13,13,13,18
2023-04-10,6,Israel,Noa Kirel - Unicorn,3%,23,26,23,21,21,25,21,21,26,21,29,21,21,21,26,21,21,38
2023-04-10,7,Austria,Teya & Salena - Who The Hell Is Edgar?,3%,26,31,29,29,26,25,26,31,26,29,32,29,29,26,26,29,21,38
2023-04-10,8,Czechia,Vesna - My Sister's Crown,2%,31,51,41,34,34,30,26,23,23,29,44,26,26,23,29,26,26,50
2023-04-10,9,France,La Zarra - Évidemment,2%,34,41,41,34,34,35,41,26,26,34,48,34,34,34,34,26,51,50
2023-04-10,10,United Kingdom,Mae Muller - I Wrote A Song,2%,46,76,61,41,34,60,41,31,41,34,48,34,34,26,34,26,34,70
2023-04-10,11,Italy,Marco Mengoni - Due vite,1%,71,51,81,67,51,60,51,67,67,51,90,51,51,34,67,41,51,100
2023-04-10,12,Armenia,Brunette - Future Lover,1%,71,67,81,101,81,80,67,67,67,67,110,67,67,51,67,67,67,130
2023-04-10,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,81,100,67,81,101,81,250,81,81,41,81,67,101,240
2023-04-10,14,Georgia,Iru - Echo,1%,201,101,126,151,101,150,101,81,101,67,270,81,81,41,101,67,101,350
2023-04-10,15,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,101,81,126,126,100,101,126,101,151,220,101,101,101,151,67,101,240
2023-04-10,16,Serbia,Luke Black - Samo mi se spava,1%,126,101,126,151,101,125,101,101,151,81,210,101,101,101,101,101,101,160
2023-04-10,17,Croatia,Let 3 - Mama ŠČ!,1%,151,126,151,201,101,150,101,101,151,101,260,101,101,101,101,101,101,260
2023-04-10,18,Australia,Voyager - Promise,1%,151,151,126,151,126,150,101,101,101,151,270,101,101,101,126,101,101,240
2023-04-10,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,126,126,151,126,150,101,101,151,101,270,101,101,101,126,101,101,270
2023-04-10,20,Germany,Lord Of The Lost - Blood & Glitter,1%,151,201,151,151,126,150,201,101,151,101,240,151,151,101,151,101,101,270
2023-04-10,21,Slovenia,Joker Out - Carpe Diem,<1%,201,126,151,201,201,200,201,126,151,101,270,101,101,151,101,126,101,360
2023-04-10,22,Estonia,Alika - Bridges,<1%,201,151,151,201,151,150,201,151,201,201,280,151,151,51,201,151,101,350
2023-04-10,23,Ireland,Wild Youth - We Are One,<1%,251,351,301,301,81,250,201,91,151,151,280,151,151,101,201,101,101,740
2023-04-10,24,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,201,201,201,200,201,201,201,201,270,201,201,201,201,251,101,330
2023-04-10,25,Iceland,Diljá - Power,<1%,251,251,251,251,201,150,201,201,201,201,290,201,201,101,151,201,101,740
2023-04-10,26,Poland,Blanka - Solo,<1%,251,251,251,251,151,150,201,201,201,201,280,201,201,201,151,201,101,440
2023-04-10,27,Portugal,Mimicat - Ai Coração,<1%,251,251,301,301,251,250,201,151,201,201,280,201,201,101,201,151,101,870
2023-04-10,28,Denmark,Reiley - Breaking My Heart,<1%,251,276,301,301,251,250,201,201,201,201,290,201,201,101,201,201,101,840
2023-04-10,29,Greece,Victor Vernicos - What They Say,<1%,251,301,251,301,251,250,201,201,201,201,280,201,201,101,201,251,101,710
2023-04-10,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,301,301,501,251,250,201,251,251,201,290,151,151,101,151,251,101,1000
2023-04-10,31,Belgium,Gustaph - Because of You,<1%,251,351,301,301,251,250,201,201,251,201,290,251,251,151,251,201,101,1000
2023-04-10,32,Lithuania,Monika Linkytė - Stay,<1%,251,251,251,501,251,250,201,251,251,201,280,251,251,101,251,251,101,820
2023-04-10,33,Malta,The Busker - Dance (Our Own Party),<1%,251,351,301,501,251,250,201,201,251,201,290,201,201,151,251,201,101,1000
2023-04-10,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,351,301,501,251,250,201,151,251,251,290,251,251,151,301,151,101,1000
2023-04-10,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,250,201,251,251,251,290,251,251,151,201,251,101,1000
2023-04-10,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,300,201,201,251,251,290,251,251,151,301,201,301,1000
2023-04-10,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,301,501,251,300,201,251,251,251,290,251,251,201,301,251,301,1000
