date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET, BETSSON ,BETFAIR SPORT,COMEON,10BET,LAD BROKES,BOYLE SPORTS,BET STARS,888 SPORT,BET FRED, WILLIAM  HILL,BETWAY, * SMARKETS,BETFAIR*  EXCHANGE 
2023-05-07,1,Sweden,Loreen - Tattoo,39%,1.73,1.91,1.85,1.83,1.9,1.91,1.8,1.8,1.8,1.8,1.83,1.8,2,1.91,1.91,1.96,2.06
2023-05-07,2,Finland,Käärijä - Cha Cha Cha,24%,3,2.6,2.8,3.5,2.75,3.2,2.9,2.9,3,2.88,2.88,2.88,3.25,3,3,3.3,3.5
2023-05-07,3,France,La Zarra - Évidemment,8%,8,9,12,11,10,7,7,7,9,7,7,8,8,7,10,14,16
2023-05-07,4,Ukraine,Tvorchi - Heart of Steel,6%,11,17,13,15,13,13,11,11,12,13,14,11,13,11,12,11,15
2023-05-07,5,Spain,Blanca Paloma - Eaea,4%,17,17,23,23,20,21,15,15,17,21,23,13,15,15,15,28,34
2023-05-07,6,Norway,Alessandra - Queen of Kings,4%,21,21,29,23,20,20,17,17,17,21,26,13,17,17,21,30,40
2023-05-07,7,Israel,Noa Kirel - Unicorn,2%,34,29,51,41,35,34,23,23,23,21,41,21,26,21,26,50,85
2023-05-07,8,Italy,Marco Mengoni - Due vite,2%,36,41,67,41,45,34,41,41,41,26,51,34,34,26,41,85,110
2023-05-07,9,Austria,Teya & Salena - Who The Hell Is Edgar?,1%,67,51,101,81,90,51,41,41,29,67,67,26,26,26,41,110,160
2023-05-07,10,United Kingdom,Mae Muller - I Wrote A Song,1%,41,126,81,67,75,56,41,41,51,51,67,51,34,34,51,75,110
2023-05-07,11,Armenia,Brunette - Future Lover,1%,101,81,101,126,100,126,81,81,67,81,201,51,67,101,101,200,240
2023-05-07,12,Czechia,Vesna - My Sister's Crown,1%,126,101,151,201,100,101,101,101,101,67,101,51,67,67,101,260,300
2023-05-07,13,Australia,Voyager - Promise,1%,101,151,151,201,100,151,101,101,151,126,151,101,101,101,151,260,350
2023-05-07,14,Switzerland,Remo Forrer - Watergun,<1%,151,151,251,201,200,151,151,151,126,101,151,151,101,67,126,270,510
2023-05-07,15,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,151,301,151,200,151,151,151,151,151,151,101,101,101,151,260,370
2023-05-07,16,Croatia,Let 3 - Mama ŠČ!,<1%,201,176,301,301,250,101,126,126,151,101,151,101,101,101,151,270,600
2023-05-07,17,Serbia,Luke Black - Samo mi se spava,<1%,201,176,301,251,250,201,151,151,151,126,201,101,101,101,151,230,660
2023-05-07,18,Slovenia,Joker Out - Carpe Diem,<1%,201,151,301,201,200,201,151,151,251,126,201,151,201,126,151,260,350
2023-05-07,19,Moldova,Pasha Parfeni - Soarele și Luna,<1%,251,151,201,251,250,251,201,201,201,126,251,101,101,101,151,270,550
2023-05-07,20,Ireland,Wild Youth - We Are One,<1%,201,401,501,251,300,101,151,151,151,81,151,101,126,67,101,260,470
2023-05-07,21,Netherlands,Nicolai & Cooper - Burning Daylight,<1%,251,201,301,301,250,151,201,201,201,151,151,101,101,101,126,280,980
2023-05-07,22,Cyprus,A. Lambrou - Break a Broken Heart,<1%,251,151,251,201,250,251,201,201,201,201,251,201,201,251,201,260,400
2023-05-07,23,Georgia,Iru - Echo,<1%,301,151,401,501,250,201,251,251,201,151,201,101,101,101,126,280,1000
2023-05-07,24,Poland,Blanka - Solo,<1%,301,301,301,301,250,251,251,251,151,201,251,201,201,201,251,280,650
2023-05-07,25,Portugal,Mimicat - Ai Coração,<1%,301,301,401,301,300,251,251,251,251,201,251,101,201,151,251,280,1000
2023-05-07,26,Estonia,Alika - Bridges,<1%,251,251,401,501,200,251,251,251,301,201,251,151,201,151,201,280,1000
2023-05-07,27,Lithuania,Monika Linkytė - Stay,<1%,301,251,401,501,300,301,251,251,201,151,301,101,201,251,251,280,1000
2023-05-07,28,Belgium,Gustaph - Because of You,<1%,301,251,401,501,300,301,301,301,201,251,301,151,201,201,251,280,1000
2023-05-07,29,Iceland,Diljá - Power,<1%,501,301,401,751,300,251,401,401,251,201,251,101,201,201,251,280,1000
2023-05-07,30,Denmark,Reiley - Breaking My Heart,<1%,501,401,401,501,500,251,401,401,251,251,251,101,201,201,251,280,1000
2023-05-07,31,Greece,Victor Vernicos - What They Say,<1%,501,501,501,751,500,251,401,401,201,251,251,101,201,251,251,280,1000
2023-05-07,32,Malta,The Busker - Dance (Our Own Party),<1%,501,501,501,751,500,301,501,501,251,251,301,151,201,201,301,280,1000
2023-05-07,33,Azerbaijan,TuralTuranX - Tell Me More,<1%,501,501,601,751,500,301,501,501,251,251,301,101,201,251,251,280,1000
2023-05-07,34,Albania,Albina & Familja Kelmendi - Duje,<1%,501,1001,501,751,500,301,501,501,251,251,301,201,201,251,301,280,1000
2023-05-07,35,San Marino,Piqued Jacks - Like An Animal,<1%,501,501,601,1001,500,301,501,501,301,501,301,151,201,151,301,280,1000
2023-05-07,36,Latvia,Sudden Lights - Aijā,<1%,501,1001,501,1001,500,301,501,501,401,251,301,151,201,251,251,280,1000
2023-05-07,37,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,501,1001,601,1001,500,301,501,501,251,501,301,151,201,201,301,280,1000
